Candidate Name,Party Name,Office Name,Town Name,Vote Totals,Local District
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Blackham School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,1411,Cesar Batalla School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,228,Cesar Batalla School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,30,Cesar Batalla School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,23,Cesar Batalla School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Cesar Batalla School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,568,City Hall
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,84,City Hall
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,7,City Hall
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,8,City Hall
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,City Hall
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,City Hall
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,City Hall
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,City Hall
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,1891,Dunbar School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,103,Dunbar School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,14,Dunbar School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,12,Dunbar School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Dunbar School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,2110,Geraldine Johnson School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,222,Geraldine Johnson School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,18,Geraldine Johnson School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,13,Geraldine Johnson School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Geraldine Johnson School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,1448,Hallen School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,221,Hallen School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,17,Hallen School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,20,Hallen School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Hallen School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,1677,Harding High School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,193,Harding High School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,13,Harding High School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,25,Harding High School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Harding High School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,1991,John F. Kennedy Campus
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,315,John F. Kennedy Campus
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,23,John F. Kennedy Campus
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,19,John F. Kennedy Campus
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,John F. Kennedy Campus
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,2105,John Winthrop School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,937,John Winthrop School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,39,John Winthrop School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,38,John Winthrop School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,John Winthrop School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,1860,Luis Munoz Marin School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,205,Luis Munoz Marin School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,15,Luis Munoz Marin School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,25,Luis Munoz Marin School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Luis Munoz Marin School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,749,Madison School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,1779,Madison School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,131,Madison School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,537,Madison School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,1,Madison School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,32,Madison School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,11,Madison School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,33,Madison School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Madison School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Madison School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Madison School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Madison School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Madison School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,Madison School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,3,Madison School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Madison School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,1323,Park City Magnet School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,342,Park City Magnet School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,28,Park City Magnet School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,25,Park City Magnet School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
La Riva and Puryear,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Maldonado and Terranova,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
McMullin and Johnson,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Skewes and Lacy,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Smith and White,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Wu and Wu,Write-In,Presidential Electors for,Bridgeport,0,Park City Magnet School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,156,Read Middle School
Clinton and Kaine,Democratic Party,Presidential Electors for,Bridgeport,582,Read Middle School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,36,Read Middle School
Trump and Pence,Republican Party,Presidential Electors for,Bridgeport,117,Read Middle School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,2,Read Middle School
Johnson and Weld,Libertarian Party,Presidential Electors for,Bridgeport,5,Read Middle School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,3,Read Middle School
Stein and Baraka,Green Party,Presidential Electors for,Bridgeport,9,Read Middle School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Basiago and Kinnison,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Blumenthal and Blair,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Buchanan and Washington,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Castle and Bradley,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Cooper and Meyer,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Cummings and Romanoff,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Deame and Long,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Evans and Fitch,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Fox and Kushner,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Hoefling and Schulin,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Bridgeport,0,Read Middle School
